タイトル / Title,著者・作成者 / Creator,別表記タイトル / Other Title,種別 / Type,言語 / Langage,年月日 / Date,NCID,雑誌名 / Journal,巻 / Volume,号 / Number,"ページ数, 冊数 / Pages, Volumes",大きさ / Size,専攻 / Department,注記 / Note,請求記号 / Call Number,所蔵図書室 / Holding Library,タグ / Tag,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,IIIFマニフェストURI,# of media
日本科學史工學史建築◦土木編纂要目,,,文書|document,日本語|Japanese,,,,,,3枚,25.6×18cm(二つ折り後),,ステープラー留め,16,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),42350f19-b56e-431d-b131-5ae2824e9348,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/42350f19-b56e-431d-b131-5ae2824e9348,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/129c66c2b9bc3bf28810c05ab8fb4cff51949b46.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72691,,https://curation.library.t.u-tokyo.ac.jp/iiif/42350f19-b56e-431d-b131-5ae2824e9348/manifest,4
[小林馨六氏、市川氏謝礼メモ、西村氏調査費用メモ],,,メモ|memorandum,日本語|Japanese,,,,,,1枚,15.5×20.7cm,,鉛筆書き|穴で綴じられてはおらず挟み込み,17,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),8d8f5146-20b3-4f15-afbd-c5703411f6ab,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/8d8f5146-20b3-4f15-afbd-c5703411f6ab,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/c2976e35c09d1bbc1c3f424e15c79d293d1fe5f3.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72692,,https://curation.library.t.u-tokyo.ac.jp/iiif/8d8f5146-20b3-4f15-afbd-c5703411f6ab/manifest,1
日本科學史 工學史 採鑛冶金地質鑛石 編纂要目,,,文書|document,日本語|Japanese,,,,,,1枚,17.6×25cm,,,18,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),bf122d3b-5cc8-497e-800c-828ece78356c,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/bf122d3b-5cc8-497e-800c-828ece78356c,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/986af476577e1eb3233986de37f2c26ab693346b.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72693,,https://curation.library.t.u-tokyo.ac.jp/iiif/bf122d3b-5cc8-497e-800c-828ece78356c/manifest,1
工學史。造船、兵器、機械中造船関係目次案,,,文書|document,日本語|Japanese,,,,,,1枚,25×16cm,,,19,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),787a9635-dcbd-4fa0-81d3-8377ecff3dba,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/787a9635-dcbd-4fa0-81d3-8377ecff3dba,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/244c890d2d4b2d109ea70983072276e055d1d34c.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72694,,https://curation.library.t.u-tokyo.ac.jp/iiif/787a9635-dcbd-4fa0-81d3-8377ecff3dba/manifest,1
工學史。造船、兵器、機械中機械関係目次案,,,文書|document,日本語|Japanese,,,,,,1枚,25×16cm,,,22,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),34af637f-f6cd-46ee-80de-999936a19bc1,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/34af637f-f6cd-46ee-80de-999936a19bc1,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/face0b772c158f45450ae2a1d0187164709d0ccd.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72695,,https://curation.library.t.u-tokyo.ac.jp/iiif/34af637f-f6cd-46ee-80de-999936a19bc1/manifest,2
工學史。造船、兵器、機械中機械関係目次案(但、十六.五.十五田中芳案ヲ基礎トシテ立案セルモノ),,,メモ|memorandum,日本語|Japanese,,,,,,1枚,21.2×26.6cm,,「工學史。造船、兵器、機械中造船関係目次案」と「工學史。造船、兵器、機械中機械関係目次案」の間に挟み込み|万年筆書き,20,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),5b6368c6-47a0-47f1-a25c-73528133e002,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/5b6368c6-47a0-47f1-a25c-73528133e002,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/3ca79e5a6f7e3761ef9d4c9d3001beb39b5265a1.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72696,,https://curation.library.t.u-tokyo.ac.jp/iiif/5b6368c6-47a0-47f1-a25c-73528133e002/manifest,1
[費用関連メモ],,,メモ|memorandum,日本語|Japanese,,,,,,1枚,10.2×7.5cm,,「工學史。造船、兵器、機械中造船関係目次案」と「工學史。造船、兵器、機械中機械関係目次案」の間に挟み込み|鉛筆書き,21,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),f7deaac6-49a9-4438-9149-b2783f7fe8f5,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/f7deaac6-49a9-4438-9149-b2783f7fe8f5,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/e88d7d1ae57d5eaa0b10f74d235d2187250d1cc1.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72697,,https://curation.library.t.u-tokyo.ac.jp/iiif/f7deaac6-49a9-4438-9149-b2783f7fe8f5/manifest,2
[工學史◦應用化學編纂要旨 項目検討メモ],,,メモ|memorandum,日本語|Japanese,,,,,,1枚,17.8×12cm,,赤鉛筆書き,23,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),2a911d0a-fe12-4ae1-9a3f-48f97fee1994,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/2a911d0a-fe12-4ae1-9a3f-48f97fee1994,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/71a8e21f01d901d81af0cebb2e37f178fa6a07ae.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72698,,https://curation.library.t.u-tokyo.ac.jp/iiif/2a911d0a-fe12-4ae1-9a3f-48f97fee1994/manifest,1
工學史◦應用化學編纂要旨(委員長宛田中委員ノ書翰ニヨル,,,文書|document,日本語|Japanese,昭和16(1941)年7月7日,,,,,1枚,25.9×18cm,,,24,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),819b5f9b-8458-4d05-879a-9e770300aae0,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/819b5f9b-8458-4d05-879a-9e770300aae0,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/db5c11f266f12bad65a2e722e2fa20271e842929.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72699,,https://curation.library.t.u-tokyo.ac.jp/iiif/819b5f9b-8458-4d05-879a-9e770300aae0/manifest,1
日本科學史農學史編纂要目,,,文書|document,日本語|Japanese,,,,,,2枚,25.6×18cm(二つ折り後),,ステープラー留め,25,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),212e5dad-0fff-47a0-b5a9-ee9c6120bb18,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/212e5dad-0fff-47a0-b5a9-ee9c6120bb18,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/4b16b796c014c951061385f30e5ecbffc68d2c42.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72700,,https://curation.library.t.u-tokyo.ac.jp/iiif/212e5dad-0fff-47a0-b5a9-ee9c6120bb18/manifest,3
日本科學史醫學◦本草學◦博物學史編纂要目,,日本科學史醫學史◦薬物史◦博物學史編纂要目,文書|document,日本語|Japanese,,,,,,4枚,25.7×18cm(二つ折り後),,ステープラー留め,26,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),5fdbf1dc-eb6c-4e42-8c22-ad274bb82d18,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/5fdbf1dc-eb6c-4e42-8c22-ad274bb82d18,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/8469a991ef26385544430c642526c94d1ee9ac2f.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72701,,https://curation.library.t.u-tokyo.ac.jp/iiif/5fdbf1dc-eb6c-4e42-8c22-ad274bb82d18/manifest,5
[備忘メモ],,,メモ|memorandum,日本語|Japanese,,,,,,2枚,12.2×18cm,,赤鉛筆書き,27,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),2909c9f4-ddc1-4fd3-9daf-048a4e4f7782,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/2909c9f4-ddc1-4fd3-9daf-048a4e4f7782,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/34e2b3c4326db32131520b50c8d6007950c3d803.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72702,,https://curation.library.t.u-tokyo.ac.jp/iiif/2909c9f4-ddc1-4fd3-9daf-048a4e4f7782/manifest,2
船舶関係,,,メモ|memorandum,日本語|Japanese,,,,,,1枚,21×26.6cm,,穴で綴じられてはおらず挟み込み,28,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),6c007f7f-793f-42d4-b668-d1a2809bc218,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/6c007f7f-793f-42d4-b668-d1a2809bc218,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/fdbea7be2484c874f013f0aba2b58e0409276751.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72703,,https://curation.library.t.u-tokyo.ac.jp/iiif/6c007f7f-793f-42d4-b668-d1a2809bc218/manifest,1
[山本武蔵教授宛葉書],西村 眞次|Nishimura Shinji,,書簡|letter,日本語|Japanese,昭和16(1941)年6月19日,,,,,1枚,14×9cm,,,29,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),ee132336-e211-4316-8ddc-c99d4e5fcf03,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/ee132336-e211-4316-8ddc-c99d4e5fcf03,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/72704,,,0
日本科學史編纂委員會第三回記事,,,文書|document,日本語|Japanese,昭和16(1941)年7月3日,,,,,3枚,25.5×17.6cm(二つ折り後),,,30,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),f6e366dc-c615-4a99-bd44-d1b4adbbcee9,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/f6e366dc-c615-4a99-bd44-d1b4adbbcee9,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/9928b282c2eb2bcee98e3b95f17cfc3d1a5031db.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72705,,https://curation.library.t.u-tokyo.ac.jp/iiif/f6e366dc-c615-4a99-bd44-d1b4adbbcee9/manifest,4
[山本武蔵教授宛経費請求方法連絡文書],帝國學士院|Imperial Academy,,文書|document,日本語|Japanese,昭和16(1941)年8月1日,,,,,1枚,25.6×18cm,,,31,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),f7cc26db-b67d-4695-85f2-483cbd707df0,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/f7cc26db-b67d-4695-85f2-483cbd707df0,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/b3905977a3c271815729a5ac4c78f548e290e1b9.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72706,,https://curation.library.t.u-tokyo.ac.jp/iiif/f7cc26db-b67d-4695-85f2-483cbd707df0/manifest,1
(様式)請求書,,,文書|document,日本語|Japanese,,,,,,2枚,25.6×18cm,,31「[山本武蔵教授宛経費請求方法連絡文書]」とステープラー留されていた|画像は1枚のみ,31-2,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),02977fa2-c2f3-43fc-afa1-4ac74631c7c8,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/02977fa2-c2f3-43fc-afa1-4ac74631c7c8,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/3acd25aad96dc074bb333da33d2f082f034f6a0f.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72707,,https://curation.library.t.u-tokyo.ac.jp/iiif/02977fa2-c2f3-43fc-afa1-4ac74631c7c8/manifest,1
(様式)領収書,,,文書|document,日本語|Japanese,,,,,,2枚,25.6×18cm,,31「[山本武蔵教授宛経費請求方法連絡文書]」とステープラー留されていた,31-3,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),09b33535-00b1-4832-a68c-b97cf60b35cb,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/09b33535-00b1-4832-a68c-b97cf60b35cb,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/e35633f056a9e1ff3ef7f3c81cb57193cbf86ad1.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72708,,https://curation.library.t.u-tokyo.ac.jp/iiif/09b33535-00b1-4832-a68c-b97cf60b35cb/manifest,2
模型「日本丸」の概要と文献,市川大治郎|漁船協會|Ichikawa Daijiro|Fishing Boat Association of Japan,,印刷小冊子|pamphlet,日本語|Japanese,,,,,,"[1], 6p",25.7×18.2cm,,3部数あり,32,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),dc497d2b-e78f-40db-bd9d-0f03969b1d6a,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/dc497d2b-e78f-40db-bd9d-0f03969b1d6a,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/7451a37e438c7a4d56f0a0e927755f45867d1cdb.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72709,,https://curation.library.t.u-tokyo.ac.jp/iiif/dc497d2b-e78f-40db-bd9d-0f03969b1d6a/manifest,7
[平賀譲宛日本科學史編纂経費連絡文書・封筒],帝國學士院|Imperial Academy,,文書|document,日本語|Japanese,昭和16(1941)年8月27日,,,,,2枚,26×19.7cm,,甲第三四八號,33,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),5d5ad31d-1275-4b63-bcda-e87a19ce5581,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/5d5ad31d-1275-4b63-bcda-e87a19ce5581,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/cf988e1059645b37b20e82566b1525db731a9400.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72710,,https://curation.library.t.u-tokyo.ac.jp/iiif/5d5ad31d-1275-4b63-bcda-e87a19ce5581/manifest,2
[メモ],,,メモ|memorandum,日本語|Japanese,,,,,,1枚,19×11.8cm,,「◎二年現役試験(最後のもの)」(鉛筆書き)「Travellers? 日郵應接室で見たもの 八月号が日本丸(は未印船)の記事あり」「有終昭和十六年十月五日二十八巻十号(十月号)幕末に於ける大船の概要」|34-2とクリップ留,34-1,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),a6399d6e-aa5f-4234-915a-e119c954b87e,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/a6399d6e-aa5f-4234-915a-e119c954b87e,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/dab2b82023b90e48d3821add5f5aa83be98af644.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72711,,https://curation.library.t.u-tokyo.ac.jp/iiif/a6399d6e-aa5f-4234-915a-e119c954b87e/manifest,1
澤(鑑之丞)海軍造兵中将に物を聴くの會,澤 鑑之丞|市来崎 慶一|岩村 俊武|川島 令次郎|武藤 稲太郎|日高 鉱一|岩野 直美|深水 貞吉|風間 篤次郎|横井 太郎|山名 次郎|岸本 肇|佐野 常羽|鳥巣 玉樹|浅野正恭|海軍有終會|Sawa Kannojo|Ichikizaki Keiichi|Iwamura Toshitake|Kawashima Reijiro|Muto Inetaro|Hidaka Koichi|Iwano Naomi|Fukamizu Sadakichi|Kazama Tokujiro|Yokoi Taro|Yamana Jiro|Kishimoto Hajime|Sano Tsuneha|Tosu Tamaki|Asano Masayasu (Shokyo)|Kaigun Yushu-kai,,印刷小冊子|pamphlet,日本語|Japanese,昭和16(1941)年9月,,,,,22p,20.5×14.8cm,,p18-19の間に「?? 山本教授殿(別冊御参考迄ニ進呈」(10.2×7.5cm)のメモあり(画像では15枚目)|34-1とクリップ留|岩野直美海軍中将、横井太郎軍医大佐は著作権保護期間不明、岸本肇造兵中将は著作権保護期間内のため発言部分公開保留,34-2,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),1b576ede-7bfd-47d3-95f1-b87cb14b9a89,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/1b576ede-7bfd-47d3-95f1-b87cb14b9a89,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/706f80c6e532dd3d7ca492665aa1a924db7d9129.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72712,,https://curation.library.t.u-tokyo.ac.jp/iiif/1b576ede-7bfd-47d3-95f1-b87cb14b9a89/manifest,12
刀劍會誌第四十八年第四百八十八号,,,雑誌|Journal,日本語|Japanese,昭和17(1942)年2月号,AN00375000,,第四十八年,第四百八十八号,p1-61,21.1×14.8cm,,,35,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),4f9d056a-57d9-4bc6-8186-1b09487f9973,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/4f9d056a-57d9-4bc6-8186-1b09487f9973,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/72713,,,0
[編纂費・諸給計算メモ],,,メモ|memorandum,日本語|Japanese,,,,,,2枚,21.3×13.5cm(二つ折り後),,一枚目ペン書き、二枚目鉛筆・赤鉛筆書きで裏にも鉛筆書き,36,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),8350c536-ad6c-4044-bd9d-bfa3fc20274d,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/8350c536-ad6c-4044-bd9d-bfa3fc20274d,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/03a54bd6d9f24ea4001ba709f595cc9c7f189394.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72714,,https://curation.library.t.u-tokyo.ac.jp/iiif/8350c536-ad6c-4044-bd9d-bfa3fc20274d/manifest,4
[費用計算メモ],,,メモ|memorandum,日本語|Japanese,,,,,,1枚,17.8×12.3cm,,36「[編纂費・諸給計算メモ]」を二つ折りにして間に挟み込み|鉛筆・赤鉛筆・青鉛筆・万年筆書き,37,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),b1f69caf-3511-4114-8eab-90c7eabfd328,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/b1f69caf-3511-4114-8eab-90c7eabfd328,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/609975ae67329754936c4b14d3781b580c56abfa.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72715,,https://curation.library.t.u-tokyo.ac.jp/iiif/b1f69caf-3511-4114-8eab-90c7eabfd328/manifest,2
伊勢湾の海運と海軍,,,手稿|manuscript,日本語|Japanese,,,,,,1枚,21.2×13.7cm(二つ折り後),,鉛筆書き|左上に「1」の記載,38-1,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),5fb35c31-dcf8-4cc8-baa5-943f82ffcf85,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/5fb35c31-dcf8-4cc8-baa5-943f82ffcf85,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/42d2b828fb2168d5cba768153160bcf4a4f219b4.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72716,,https://curation.library.t.u-tokyo.ac.jp/iiif/5fb35c31-dcf8-4cc8-baa5-943f82ffcf85/manifest,1
東國の海軍と海軍,,,手稿|manuscript,日本語|Japanese,,,,,,1枚,21.2×13.7cm(二つ折り後),,鉛筆書き|左上に「2」の記載,38-2,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),9618323b-fce2-46ae-b924-79f83020e68d,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/9618323b-fce2-46ae-b924-79f83020e68d,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/3658679103aaf1c203b6fbda411d2c2dd9f4f5cc.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72717,,https://curation.library.t.u-tokyo.ac.jp/iiif/9618323b-fce2-46ae-b924-79f83020e68d/manifest,1
瀬戸内の海軍,,,手稿|manuscript,日本語|Japanese,,,,,,2枚,21.2×13.7cm(二つ折り後),,鉛筆書き|左上に「3」「(4)」の記載|2枚+白紙1枚,38-3,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),71aebea6-524b-44bc-bc8a-ab52648a98d6,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/71aebea6-524b-44bc-bc8a-ab52648a98d6,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/da499a91910756eadf2f6fff210cb9d7b7ef74c8.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72718,,https://curation.library.t.u-tokyo.ac.jp/iiif/71aebea6-524b-44bc-bc8a-ab52648a98d6/manifest,2
[後醍醐天皇から正親町天皇・南北朝までの年表],,,手稿|manuscript,日本語|Japanese,,,,,,2枚,21.2×13.7cm(二つ折り後),,鉛筆書き,38-4,工3号館図書室|Engineering Bldg. 3 Library,山本 武蔵|Yamamoto Takezo|明治前日本科学史|Meiji-mae Nippon Kagaku-shi (Pre-modern Japanese History of Science and Technology),4738789f-029f-496b-a710-ed657f914a35,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/4738789f-029f-496b-a710-ed657f914a35,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,https://curation.library.t.u-tokyo.ac.jp/files/medium/e81ac8d759e43eeb90de3e510f6a6c07a58727b0.jpg,https://curation.library.t.u-tokyo.ac.jp/api/items/72719,,https://curation.library.t.u-tokyo.ac.jp/iiif/4738789f-029f-496b-a710-ed657f914a35/manifest,2
